District,M0_k1,M0_k2,M0_k3,M0_k4,M0_k5,M0_k6,M0_k7,M0_k8,M0_k9,M1_k1,M1_k2,M1_k3,M1_k4,M1_k5,M1_k6,M1_k7,M1_k8,M1_k9,M2_k1,M2_k2,M2_k3,M2_k4,M2_k5,M2_k6,M2_k7,M2_k8,M2_k9
Nkayi,0.467504532,0.466159714,0.445430469,0.343780588,0.153140452,0.102343212,0.03873668,0.02142691,0.015668634,0.282767202,0.281680576,0.268669391,0.20272603,0.08902396,0.058318631,0.022606734,0.011697433,0.00807566,0.223028896,0.222121878,0.212251044,0.15952899,0.071906429,0.048207095,0.02016778,0.011007546,0.007597801
Norton,0.215269467,0.161354878,0.110681102,0.05388245,0.021180064,0.021180064,0.021180064,0.021180064,0,0.129983354,0.096838545,0.064741473,0.031074541,0.011485272,0.011485272,0.011485272,0.011485272,0,0.10470108,0.078181683,0.052323805,0.026589984,0.010068702,0.010068702,0.010068702,0.010068702,0
Nyanga,0.412292897,0.400084169,0.364447523,0.278455561,0.143340953,0.051073757,0.019450326,0.012397069,0,0.231160247,0.224716122,0.206189368,0.155661609,0.080813872,0.027922585,0.01013623,0.006563885,0,0.182850067,0.178353891,0.163193332,0.122298213,0.063810409,0.023299671,0.008138744,0.005038422,0
Plumtree,0.201748143,0.140881463,0.057396509,0,0,0,0,0,0,0.176511314,0.114309687,0.04431122,0,0,0,0,0,0,0.155636023,0.102913382,0.040911819,0,0,0,0,0,0
Redcliff,0.216053342,0.160457946,0.088731214,0.088731214,0.024952293,0,0,0,0,0.129291377,0.096359197,0.055989234,0.055989234,0.013465144,0,0,0,0,0.105479151,0.077472853,0.049953153,0.049953153,0.010308592,0,0,0,0
Rusape,0.205379631,0.166645787,0.1033735,0.042832496,0,0,0,0,0,0.111295521,0.091323359,0.059693595,0.021416248,0,0,0,0,0,0.091467278,0.077664343,0.055038098,0.021416248,0,0,0,0,0
Rushinga,0.418028082,0.408774907,0.380208034,0.265322143,0.120089925,0.057648635,0.026761324,0.013266801,0.009262295,0.232578759,0.227023454,0.211078662,0.148480258,0.065780108,0.03094678,0.014545064,0.007154081,0.005005034,0.183261819,0.178458826,0.166289759,0.119263741,0.054040839,0.026614311,0.013224444,0.006581473,0.004656695
Ruwa Local Board,0.29051565,0.247494835,0.148683024,0.05886909,0.016073987,0,0,0,0,0.192213455,0.163717202,0.102701643,0.044843911,0.010466895,0,0,0,0,0.144507582,0.126561298,0.08419456,0.0402964,0.008933258,0,0,0,0
Sanyati,0.398080073,0.391587096,0.359179868,0.224231504,0.093961995,0.053889792,0,0,0,0.231457312,0.22490985,0.20839047,0.134044846,0.054441252,0.030866227,0,0,0,0.178366645,0.172021081,0.161040185,0.105444106,0.042525835,0.024495237,0,0,0
Seke,0.385067542,0.373459306,0.327763132,0.221959583,0.11768686,0.038256116,0.010924132,0.005720396,0,0.226667618,0.219091986,0.191400673,0.127522375,0.06791865,0.021308935,0.005981776,0.002892964,0,0.198273013,0.191000965,0.166583916,0.110033653,0.059723017,0.018587081,0.005012957,0.002635981,0
Shamva,0.348831498,0.338535101,0.267517741,0.172980183,0.07247847,0.026140744,0.005166302,0.005166302,0.005166302,0.189413193,0.183073868,0.145133113,0.095307641,0.038662077,0.013703789,0.002511717,0.002511717,0.002511717,0.144357882,0.139039179,0.109882222,0.074124157,0.029844275,0.010920012,0.002071511,0.002071511,0.002071511
Shurugwi Rural,0.380356463,0.369144828,0.297463471,0.195015499,0.097791534,0.052792572,0.027554751,0.007167514,0.007167514,0.203871827,0.197688801,0.159868486,0.102214311,0.05079056,0.028108822,0.014421663,0.003504265,0.003504265,0.168965368,0.163609822,0.134587983,0.086137455,0.043334112,0.024809658,0.012674011,0.00323929,0.00323929
Shurugwi Urban,0.165754583,0.107506003,0.054228946,0.035162536,0.020003336,0,0,0,0,0.09834444,0.06426412,0.033617336,0.021328004,0.012811721,0,0,0,0,0.089796801,0.059580697,0.031743966,0.019454635,0.012343378,0,0,0,0
Tsholotsho,0.442819534,0.432117676,0.40277363,0.302595027,0.191043568,0.103044575,0.037055936,0.016756495,0.009168669,0.251832195,0.245062048,0.226661719,0.170009998,0.105674137,0.058202249,0.020091388,0.008479638,0.004665481,0.200803927,0.195484766,0.180381992,0.136495874,0.085560992,0.048042752,0.016892687,0.007207864,0.003978129
UMP,0.451978259,0.449909639,0.423487477,0.324257514,0.186921915,0.075893568,0.028825804,0.012300333,0.012300333,0.264838027,0.263568298,0.247733209,0.189724104,0.104866315,0.042015373,0.014960398,0.006792029,0.006792029,0.215441445,0.214357761,0.201302303,0.154837886,0.085095807,0.035193151,0.012668734,0.006073441,0.006073441
Umguza,0.449303991,0.44299624,0.413821168,0.313286709,0.185091088,0.093279949,0.025327206,0.012682583,0,0.249711909,0.246243462,0.229751605,0.173733743,0.105095051,0.053329735,0.013939447,0.006995473,0,0.204207826,0.20113239,0.187179314,0.141567601,0.086549224,0.044506672,0.01224285,0.006361976,0
Umzingwane,0.381496329,0.362971945,0.330973493,0.221339046,0.113532216,0.037238057,0.012483618,0.007251607,0.007251607,0.215076373,0.205800193,0.189169428,0.129227623,0.065550088,0.022355594,0.007700254,0.004550502,0.004550502,0.172135038,0.164351121,0.151968013,0.104978292,0.053279762,0.017776373,0.005935211,0.003596804,0.003596804
Victoria Falls,0.298485832,0.256133952,0.184104595,0.081814477,0.038242992,0.013625749,0.007316819,0,0,0.209063604,0.167944596,0.116564352,0.049435794,0.023066413,0.007956287,0.004367559,0,0,0.17948528,0.143737115,0.100155238,0.041259415,0.020198763,0.007034398,0.003906614,0,0
Zaka,0.426113383,0.416939897,0.389943107,0.29773621,0.168348568,0.052638584,0.009854343,0,0,0.264065866,0.259241336,0.242445043,0.183947034,0.103201035,0.031658246,0.005643246,0,0,0.208750348,0.205460251,0.192734023,0.14545502,0.082779845,0.02593289,0.004777025,0,0
Zvishavane Rural,0.392058486,0.382572253,0.345028503,0.214863894,0.102902289,0.023749624,0,0,0,0.22892573,0.22305346,0.198649296,0.125574635,0.058625017,0.014938155,0,0,0,0.18870522,0.184094938,0.163762353,0.106326941,0.051482732,0.012554807,0,0,0
Zvishavane Urban,0.203953357,0.154811183,0.113719253,0.061322692,0.042896249,0.020481331,0,0,0,0.123948794,0.097878443,0.070576298,0.039112451,0.02876792,0.013972131,0,0,0,0.111849819,0.090482668,0.065012823,0.036653013,0.028137905,0.013577788,0,0,0
Zwinba,0.457322289,0.451355674,0.427516595,0.321694617,0.207144734,0.113959697,0.057370805,0.011642687,0.005507577,0.255554953,0.251922147,0.239197346,0.179058526,0.113721046,0.061471233,0.030627458,0.006334064,0.00269665,0.204311802,0.201440972,0.191048849,0.143956045,0.092014261,0.050370214,0.024868835,0.005030981,0.002112861
